epoch,loss,val_loss
0,0.040672264993190765,NA
1,0.0018369018798694015,NA
2,0.0012389181647449732,NA
3,0.001003097277134657,NA
4,0.0007836947916075587,NA
5,0.0006300980458036065,NA
6,0.0005565223400481045,NA
7,0.0005191747914068401,NA
8,0.00047415465814992785,NA
9,0.00044707226334139705,NA
10,0.00042268907418474555,NA
11,0.0004112519964110106,NA
12,0.00039434514474123716,NA
13,0.0003822681901510805,NA
14,0.0003808171895798296,NA
15,0.0003695435298141092,NA
16,0.00035479231155477464,NA
17,0.00035148076131008565,NA
18,0.00035971292527392507,NA
19,0.000355499389115721,NA
20,0.0003380223934073001,NA
21,0.0003381873539183289,NA
22,0.00032441821531392634,NA
23,0.00033932222868315876,NA
24,0.0003232912567909807,NA
25,0.0003203776723239571,NA
26,0.0003114735591225326,NA
27,0.000317379308398813,NA
28,0.00031667176517657936,NA
29,0.00031494672293774784,NA
